,type,id,attributes.accession,attributes.analysis-status,attributes.pipeline-version,attributes.analysis-summary,attributes.experiment-type,attributes.is-private,attributes.complete-time,attributes.instrument-platform,attributes.instrument-model,relationships.sample.data.id,relationships.sample.data.type,relationships.run.data.id,relationships.run.data.type,relationships.study.data.id,relationships.study.data.type
10,analysis-jobs,MGYA00567548,MGYA00567548,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '1926'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '1918'}, {'key': 'Nucleotide sequences after length filtering', 'value': '1918'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '1918'}, {'key': 'Predicted SSU sequences', 'value': '1794'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:45:58,ILLUMINA,Illumina MiniSeq,SRS6297621,samples,SRR11282156,runs,MGYS00005611,studies
11,analysis-jobs,MGYA00567549,MGYA00567549,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '6205'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '6177'}, {'key': 'Nucleotide sequences after length filtering', 'value': '6177'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '6177'}, {'key': 'Predicted SSU sequences', 'value': '5597'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:46:39,ILLUMINA,Illumina MiniSeq,SRS6297622,samples,SRR11282155,runs,MGYS00005611,studies
12,analysis-jobs,MGYA00567550,MGYA00567550,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '4811'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '4787'}, {'key': 'Nucleotide sequences after length filtering', 'value': '4787'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '4787'}, {'key': 'Predicted SSU sequences', 'value': '4562'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:47:13,ILLUMINA,Illumina MiniSeq,SRS6297623,samples,SRR11282154,runs,MGYS00005611,studies
13,analysis-jobs,MGYA00567551,MGYA00567551,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '6986'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '6950'}, {'key': 'Nucleotide sequences after length filtering', 'value': '6950'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '6950'}, {'key': 'Predicted SSU sequences', 'value': '6714'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:47:54,ILLUMINA,Illumina MiniSeq,SRS6297624,samples,SRR11282153,runs,MGYS00005611,studies
14,analysis-jobs,MGYA00567552,MGYA00567552,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '3303'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '3286'}, {'key': 'Nucleotide sequences after length filtering', 'value': '3286'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '3286'}, {'key': 'Predicted SSU sequences', 'value': '3233'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:48:27,ILLUMINA,Illumina MiniSeq,SRS6297625,samples,SRR11282152,runs,MGYS00005611,studies
15,analysis-jobs,MGYA00567553,MGYA00567553,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '69037'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '68726'}, {'key': 'Nucleotide sequences after length filtering', 'value': '68726'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '68726'}, {'key': 'Predicted SSU sequences', 'value': '67961'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:49:02,ILLUMINA,Illumina MiniSeq,SRS6297626,samples,SRR11282151,runs,MGYS00005611,studies
16,analysis-jobs,MGYA00567554,MGYA00567554,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '14715'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '14665'}, {'key': 'Nucleotide sequences after length filtering', 'value': '14665'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '14665'}, {'key': 'Predicted SSU sequences', 'value': '14551'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:49:40,ILLUMINA,Illumina MiniSeq,SRS6297627,samples,SRR11282150,runs,MGYS00005611,studies
17,analysis-jobs,MGYA00567555,MGYA00567555,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '3400'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '3375'}, {'key': 'Nucleotide sequences after length filtering', 'value': '3375'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '3375'}, {'key': 'Predicted SSU sequences', 'value': '3213'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:50:20,ILLUMINA,Illumina MiniSeq,SRS6297628,samples,SRR11282149,runs,MGYS00005611,studies
18,analysis-jobs,MGYA00567556,MGYA00567556,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '7937'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '7872'}, {'key': 'Nucleotide sequences after length filtering', 'value': '7872'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '7872'}, {'key': 'Predicted SSU sequences', 'value': '7260'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:50:48,ILLUMINA,Illumina MiniSeq,SRS6297629,samples,SRR11282148,runs,MGYS00005611,studies
19,analysis-jobs,MGYA00567557,MGYA00567557,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '1850'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '1832'}, {'key': 'Nucleotide sequences after length filtering', 'value': '1832'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '1832'}, {'key': 'Predicted SSU sequences', 'value': '1744'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:51:24,ILLUMINA,Illumina MiniSeq,SRS6297630,samples,SRR11282147,runs,MGYS00005611,studies
20,analysis-jobs,MGYA00567558,MGYA00567558,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '8492'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '8453'}, {'key': 'Nucleotide sequences after length filtering', 'value': '8453'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '8453'}, {'key': 'Predicted SSU sequences', 'value': '8338'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:52:00,ILLUMINA,Illumina MiniSeq,SRS6297631,samples,SRR11282146,runs,MGYS00005611,studies
21,analysis-jobs,MGYA00567559,MGYA00567559,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '4304'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '4292'}, {'key': 'Nucleotide sequences after length filtering', 'value': '4292'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '4292'}, {'key': 'Predicted SSU sequences', 'value': '4252'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:52:34,ILLUMINA,Illumina MiniSeq,SRS6297632,samples,SRR11282145,runs,MGYS00005611,studies
22,analysis-jobs,MGYA00567560,MGYA00567560,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '5809'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '5761'}, {'key': 'Nucleotide sequences after length filtering', 'value': '5761'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '5761'}, {'key': 'Predicted SSU sequences', 'value': '5563'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:53:03,ILLUMINA,Illumina MiniSeq,SRS6297633,samples,SRR11282144,runs,MGYS00005611,studies
23,analysis-jobs,MGYA00567561,MGYA00567561,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '45861'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '45633'}, {'key': 'Nucleotide sequences after length filtering', 'value': '45633'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '45633'}, {'key': 'Predicted SSU sequences', 'value': '44522'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:53:40,ILLUMINA,Illumina MiniSeq,SRS6297634,samples,SRR11282143,runs,MGYS00005611,studies
24,analysis-jobs,MGYA00567562,MGYA00567562,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '103225'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '102833'}, {'key': 'Nucleotide sequences after length filtering', 'value': '102833'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '102833'}, {'key': 'Predicted SSU sequences', 'value': '101990'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:54:21,ILLUMINA,Illumina MiniSeq,SRS6297635,samples,SRR11282142,runs,MGYS00005611,studies
25,analysis-jobs,MGYA00567563,MGYA00567563,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '72016'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '71711'}, {'key': 'Nucleotide sequences after length filtering', 'value': '71711'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '71711'}, {'key': 'Predicted SSU sequences', 'value': '71066'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:55:02,ILLUMINA,Illumina MiniSeq,SRS6297636,samples,SRR11282141,runs,MGYS00005611,studies
26,analysis-jobs,MGYA00567564,MGYA00567564,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '68732'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '68427'}, {'key': 'Nucleotide sequences after length filtering', 'value': '68427'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '68427'}, {'key': 'Predicted SSU sequences', 'value': '67627'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:55:38,ILLUMINA,Illumina MiniSeq,SRS6297638,samples,SRR11282140,runs,MGYS00005611,studies
27,analysis-jobs,MGYA00567565,MGYA00567565,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '65082'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '64755'}, {'key': 'Nucleotide sequences after length filtering', 'value': '64755'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '64755'}, {'key': 'Predicted SSU sequences', 'value': '63297'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:56:21,ILLUMINA,Illumina MiniSeq,SRS6297637,samples,SRR11282139,runs,MGYS00005611,studies
28,analysis-jobs,MGYA00567566,MGYA00567566,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '74768'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '74452'}, {'key': 'Nucleotide sequences after length filtering', 'value': '74452'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '74452'}, {'key': 'Predicted SSU sequences', 'value': '73802'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:56:57,ILLUMINA,Illumina MiniSeq,SRS6297639,samples,SRR11282138,runs,MGYS00005611,studies
29,analysis-jobs,MGYA00567567,MGYA00567567,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '44389'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '44183'}, {'key': 'Nucleotide sequences after length filtering', 'value': '44183'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '44183'}, {'key': 'Predicted SSU sequences', 'value': '43763'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:57:37,ILLUMINA,Illumina MiniSeq,SRS6297640,samples,SRR11282137,runs,MGYS00005611,studies
30,analysis-jobs,MGYA00567568,MGYA00567568,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '184756'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '183835'}, {'key': 'Nucleotide sequences after length filtering', 'value': '183835'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '183835'}, {'key': 'Predicted SSU sequences', 'value': '178594'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:58:13,ILLUMINA,Illumina MiniSeq,SRS6297641,samples,SRR11282136,runs,MGYS00005611,studies
31,analysis-jobs,MGYA00567569,MGYA00567569,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '129206'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '128672'}, {'key': 'Nucleotide sequences after length filtering', 'value': '128672'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '128672'}, {'key': 'Predicted SSU sequences', 'value': '127807'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:58:54,ILLUMINA,Illumina MiniSeq,SRS6297645,samples,SRR11282135,runs,MGYS00005611,studies
32,analysis-jobs,MGYA00567570,MGYA00567570,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '82028'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '81647'}, {'key': 'Nucleotide sequences after length filtering', 'value': '81647'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '81647'}, {'key': 'Predicted SSU sequences', 'value': '80686'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:59:31,ILLUMINA,Illumina MiniSeq,SRS6297642,samples,SRR11282134,runs,MGYS00005611,studies
33,analysis-jobs,MGYA00567571,MGYA00567571,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '112307'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '111727'}, {'key': 'Nucleotide sequences after length filtering', 'value': '111727'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '111727'}, {'key': 'Predicted SSU sequences', 'value': '109984'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:00:13,ILLUMINA,Illumina MiniSeq,SRS6297643,samples,SRR11282133,runs,MGYS00005611,studies
34,analysis-jobs,MGYA00567572,MGYA00567572,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '130235'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '129704'}, {'key': 'Nucleotide sequences after length filtering', 'value': '129704'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '129704'}, {'key': 'Predicted SSU sequences', 'value': '128772'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:01:03,ILLUMINA,Illumina MiniSeq,SRS6297644,samples,SRR11282132,runs,MGYS00005611,studies
35,analysis-jobs,MGYA00567573,MGYA00567573,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '130727'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '130162'}, {'key': 'Nucleotide sequences after length filtering', 'value': '130162'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '130162'}, {'key': 'Predicted SSU sequences', 'value': '128947'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:01:50,ILLUMINA,Illumina MiniSeq,SRS6297646,samples,SRR11282131,runs,MGYS00005611,studies
36,analysis-jobs,MGYA00567574,MGYA00567574,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '766428'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '762977'}, {'key': 'Nucleotide sequences after length filtering', 'value': '762977'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '762977'}, {'key': 'Predicted SSU sequences', 'value': '755751'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:02:35,ILLUMINA,Illumina MiniSeq,SRS6297647,samples,SRR11282130,runs,MGYS00005611,studies
37,analysis-jobs,MGYA00567575,MGYA00567575,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '188720'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '187895'}, {'key': 'Nucleotide sequences after length filtering', 'value': '187895'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '187895'}, {'key': 'Predicted SSU sequences', 'value': '184860'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:03:25,ILLUMINA,Illumina MiniSeq,SRS6297651,samples,SRR11282129,runs,MGYS00005611,studies
38,analysis-jobs,MGYA00567576,MGYA00567576,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '183361'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '182569'}, {'key': 'Nucleotide sequences after length filtering', 'value': '182569'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '182569'}, {'key': 'Predicted SSU sequences', 'value': '180820'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:04:06,ILLUMINA,Illumina MiniSeq,SRS6297648,samples,SRR11282128,runs,MGYS00005611,studies
39,analysis-jobs,MGYA00567577,MGYA00567577,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '96059'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '95711'}, {'key': 'Nucleotide sequences after length filtering', 'value': '95711'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '95711'}, {'key': 'Predicted SSU sequences', 'value': '95098'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:04:50,ILLUMINA,Illumina MiniSeq,SRS6297649,samples,SRR11282127,runs,MGYS00005611,studies
40,analysis-jobs,MGYA00567578,MGYA00567578,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '175396'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '174690'}, {'key': 'Nucleotide sequences after length filtering', 'value': '174690'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '174690'}, {'key': 'Predicted SSU sequences', 'value': '173497'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:05:37,ILLUMINA,Illumina MiniSeq,SRS6297650,samples,SRR11282126,runs,MGYS00005611,studies
41,analysis-jobs,MGYA00567579,MGYA00567579,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '112887'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '112474'}, {'key': 'Nucleotide sequences after length filtering', 'value': '112474'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '112474'}, {'key': 'Predicted SSU sequences', 'value': '111665'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:06:24,ILLUMINA,Illumina MiniSeq,SRS6297652,samples,SRR11282125,runs,MGYS00005611,studies
42,analysis-jobs,MGYA00567580,MGYA00567580,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '1067'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '1032'}, {'key': 'Nucleotide sequences after length filtering', 'value': '1032'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '1032'}, {'key': 'Predicted SSU sequences', 'value': '862'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:06:58,ILLUMINA,Illumina MiniSeq,SRS6297653,samples,SRR11282124,runs,MGYS00005611,studies
43,analysis-jobs,MGYA00567581,MGYA00567581,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '91118'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '90740'}, {'key': 'Nucleotide sequences after length filtering', 'value': '90740'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '90740'}, {'key': 'Predicted SSU sequences', 'value': '90069'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:07:35,ILLUMINA,Illumina MiniSeq,SRS6297658,samples,SRR11282123,runs,MGYS00005611,studies
44,analysis-jobs,MGYA00567582,MGYA00567582,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '45829'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '45636'}, {'key': 'Nucleotide sequences after length filtering', 'value': '45636'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '45636'}, {'key': 'Predicted SSU sequences', 'value': '45192'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:08:19,ILLUMINA,Illumina MiniSeq,SRS6297654,samples,SRR11282122,runs,MGYS00005611,studies
45,analysis-jobs,MGYA00567583,MGYA00567583,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '87932'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '87625'}, {'key': 'Nucleotide sequences after length filtering', 'value': '87625'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '87625'}, {'key': 'Predicted SSU sequences', 'value': '87023'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:08:59,ILLUMINA,Illumina MiniSeq,SRS6297655,samples,SRR11282121,runs,MGYS00005611,studies
46,analysis-jobs,MGYA00567584,MGYA00567584,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '166810'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '166142'}, {'key': 'Nucleotide sequences after length filtering', 'value': '166142'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '166142'}, {'key': 'Predicted SSU sequences', 'value': '164942'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T01:09:39,ILLUMINA,Illumina MiniSeq,SRS6297656,samples,SRR11282120,runs,MGYS00005611,studies
