,type,id,attributes.accession,attributes.analysis-status,attributes.experiment-type,attributes.analysis-summary,attributes.pipeline-version,attributes.is-private,attributes.complete-time,attributes.instrument-platform,attributes.instrument-model,relationships.sample.data.id,relationships.sample.data.type,relationships.run.data.id,relationships.run.data.type,relationships.study.data.id,relationships.study.data.type
18,analysis-jobs,MGYA00429567,MGYA00429567,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '32'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '31'}, {'key': 'Nucleotide sequences after length filtering', 'value': '31'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '31'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:02:10,ILLUMINA,Illumina MiSeq,ERS1015530,samples,ERR1190099,runs,MGYS00001499,studies
19,analysis-jobs,MGYA00429568,MGYA00429568,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '183975'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '182889'}, {'key': 'Nucleotide sequences after length filtering', 'value': '182889'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '182889'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:00:09,ILLUMINA,Illumina MiSeq,ERS1014355,samples,ERR1189783,runs,MGYS00001499,studies
20,analysis-jobs,MGYA00429569,MGYA00429569,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '147693'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '146859'}, {'key': 'Nucleotide sequences after length filtering', 'value': '146859'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '146859'}, {'key': 'Predicted SSU sequences', 'value': '3'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:57:32,ILLUMINA,Illumina MiSeq,ERS1014347,samples,ERR1189775,runs,MGYS00001499,studies
21,analysis-jobs,MGYA00429570,MGYA00429570,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '13107'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '13035'}, {'key': 'Nucleotide sequences after length filtering', 'value': '13035'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '13035'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:21:53,ILLUMINA,Illumina MiSeq,ERS1014344,samples,ERR1189772,runs,MGYS00001499,studies
22,analysis-jobs,MGYA00429571,MGYA00429571,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '203'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '198'}, {'key': 'Nucleotide sequences after length filtering', 'value': '198'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '198'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:50:52,ILLUMINA,Illumina MiSeq,ERS1014309,samples,ERR1189737,runs,MGYS00001499,studies
23,analysis-jobs,MGYA00429574,MGYA00429574,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '93426'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '93022'}, {'key': 'Nucleotide sequences after length filtering', 'value': '93022'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '93022'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:10:13,ILLUMINA,Illumina MiSeq,ERS1014274,samples,ERR1189702,runs,MGYS00001499,studies
24,analysis-jobs,MGYA00464003,MGYA00464003,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '89712'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '89297'}, {'key': 'Nucleotide sequences after length filtering', 'value': '89297'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '89297'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:17:32,ILLUMINA,Illumina MiSeq,ERS1014314,samples,ERR1189742,runs,MGYS00001499,studies
25,analysis-jobs,MGYA00464004,MGYA00464004,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '137913'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '137094'}, {'key': 'Nucleotide sequences after length filtering', 'value': '137094'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '137094'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:07:58,ILLUMINA,Illumina MiSeq,ERS1014300,samples,ERR1189728,runs,MGYS00001499,studies
26,analysis-jobs,MGYA00464005,MGYA00464005,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '133474'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '132749'}, {'key': 'Nucleotide sequences after length filtering', 'value': '132749'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '132749'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:22:43,ILLUMINA,Illumina MiSeq,ERS1014288,samples,ERR1189716,runs,MGYS00001499,studies
27,analysis-jobs,MGYA00464006,MGYA00464006,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '155511'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '154786'}, {'key': 'Nucleotide sequences after length filtering', 'value': '154786'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '154786'}, {'key': 'Predicted SSU sequences', 'value': '103'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:09:48,ILLUMINA,Illumina MiSeq,ERS1014275,samples,ERR1189703,runs,MGYS00001499,studies
28,analysis-jobs,MGYA00464007,MGYA00464007,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '60'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '60'}, {'key': 'Nucleotide sequences after length filtering', 'value': '60'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '60'}, {'key': 'Predicted SSU sequences', 'value': '24'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:11:26,ILLUMINA,Illumina MiSeq,ERS1014263,samples,ERR1189691,runs,MGYS00001499,studies
29,analysis-jobs,MGYA00565113,MGYA00565113,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '112949'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '112382'}, {'key': 'Nucleotide sequences after length filtering', 'value': '112382'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '112382'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:46:42,ILLUMINA,Illumina MiSeq,ERS1014321,samples,ERR1189749,runs,MGYS00001499,studies
30,analysis-jobs,MGYA00565114,MGYA00565114,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '128325'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '127682'}, {'key': 'Nucleotide sequences after length filtering', 'value': '127682'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '127682'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:47:11,ILLUMINA,Illumina MiSeq,ERS1014317,samples,ERR1189745,runs,MGYS00001499,studies
31,analysis-jobs,MGYA00565115,MGYA00565115,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '14979'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '14892'}, {'key': 'Nucleotide sequences after length filtering', 'value': '14892'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '14892'}, {'key': 'Predicted SSU sequences', 'value': '2'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:47:57,ILLUMINA,Illumina MiSeq,ERS1015547,samples,ERR1190116,runs,MGYS00001499,studies
32,analysis-jobs,MGYA00565116,MGYA00565116,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '182784'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '181823'}, {'key': 'Nucleotide sequences after length filtering', 'value': '181823'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '181823'}, {'key': 'Predicted SSU sequences', 'value': '2'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:48:22,ILLUMINA,Illumina MiSeq,ERS1014322,samples,ERR1189750,runs,MGYS00001499,studies
33,analysis-jobs,MGYA00565117,MGYA00565117,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '160354'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '159628'}, {'key': 'Nucleotide sequences after length filtering', 'value': '159628'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '159628'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:48:47,ILLUMINA,Illumina MiSeq,ERS1014350,samples,ERR1189778,runs,MGYS00001499,studies
34,analysis-jobs,MGYA00565118,MGYA00565118,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '129334'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '128635'}, {'key': 'Nucleotide sequences after length filtering', 'value': '128635'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '128635'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:49:10,ILLUMINA,Illumina MiSeq,ERS1014338,samples,ERR1189766,runs,MGYS00001499,studies
35,analysis-jobs,MGYA00565119,MGYA00565119,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '149078'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '148158'}, {'key': 'Nucleotide sequences after length filtering', 'value': '148158'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '148158'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:49:36,ILLUMINA,Illumina MiSeq,ERS1014337,samples,ERR1189765,runs,MGYS00001499,studies
36,analysis-jobs,MGYA00565120,MGYA00565120,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '22'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '20'}, {'key': 'Nucleotide sequences after length filtering', 'value': '20'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '20'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:50:02,ILLUMINA,Illumina MiSeq,ERS1015529,samples,ERR1190098,runs,MGYS00001499,studies
37,analysis-jobs,MGYA00565121,MGYA00565121,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '100705'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '100211'}, {'key': 'Nucleotide sequences after length filtering', 'value': '100211'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '100211'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:50:27,ILLUMINA,Illumina MiSeq,ERS1014335,samples,ERR1189763,runs,MGYS00001499,studies
38,analysis-jobs,MGYA00565122,MGYA00565122,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '114989'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '114363'}, {'key': 'Nucleotide sequences after length filtering', 'value': '114363'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '114363'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:51:14,ILLUMINA,Illumina MiSeq,ERS1014302,samples,ERR1189730,runs,MGYS00001499,studies
39,analysis-jobs,MGYA00565123,MGYA00565123,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '66'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '53'}, {'key': 'Nucleotide sequences after length filtering', 'value': '53'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '53'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:51:58,ILLUMINA,Illumina MiSeq,ERS1015535,samples,ERR1190104,runs,MGYS00001499,studies
40,analysis-jobs,MGYA00565124,MGYA00565124,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '158811'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '157961'}, {'key': 'Nucleotide sequences after length filtering', 'value': '157961'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '157961'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:52:20,ILLUMINA,Illumina MiSeq,ERS1014290,samples,ERR1189718,runs,MGYS00001499,studies
41,analysis-jobs,MGYA00565125,MGYA00565125,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '111061'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '110497'}, {'key': 'Nucleotide sequences after length filtering', 'value': '110497'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '110497'}, {'key': 'Predicted SSU sequences', 'value': '2'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:52:44,ILLUMINA,Illumina MiSeq,ERS1014336,samples,ERR1189764,runs,MGYS00001499,studies
42,analysis-jobs,MGYA00565126,MGYA00565126,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '169451'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '168607'}, {'key': 'Nucleotide sequences after length filtering', 'value': '168607'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '168607'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:53:10,ILLUMINA,Illumina MiSeq,ERS1014310,samples,ERR1189738,runs,MGYS00001499,studies
43,analysis-jobs,MGYA00565127,MGYA00565127,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '135011'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '134312'}, {'key': 'Nucleotide sequences after length filtering', 'value': '134312'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '134312'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:53:37,ILLUMINA,Illumina MiSeq,ERS1014286,samples,ERR1189714,runs,MGYS00001499,studies
44,analysis-jobs,MGYA00565128,MGYA00565128,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '109132'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '108570'}, {'key': 'Nucleotide sequences after length filtering', 'value': '108570'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '108570'}, {'key': 'Predicted SSU sequences', 'value': '4'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:54:00,ILLUMINA,Illumina MiSeq,ERS1014268,samples,ERR1189696,runs,MGYS00001499,studies
45,analysis-jobs,MGYA00565129,MGYA00565129,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '242'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '241'}, {'key': 'Nucleotide sequences after length filtering', 'value': '241'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '241'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:54:29,ILLUMINA,Illumina MiSeq,ERS1015539,samples,ERR1190108,runs,MGYS00001499,studies
46,analysis-jobs,MGYA00565130,MGYA00565130,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '144158'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '143428'}, {'key': 'Nucleotide sequences after length filtering', 'value': '143428'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '143428'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:54:51,ILLUMINA,Illumina MiSeq,ERS1014313,samples,ERR1189741,runs,MGYS00001499,studies
